game_file,opponent,candidate_opp_3pa
nba_game_0022500062_processed.parquet,Bucks,37
nba_game_0022500296_processed.parquet,Pistons,25
nba_game_0022500313_processed.parquet,Clippers,24
nba_game_0022500332_processed.parquet,Mavericks,29
nba_game_0022500513_processed.parquet,Timberwolves,36
nba_game_0022500553_processed.parquet,Thunder,32
nba_game_0022500564_processed.parquet,Suns,38
nba_game_0022500864_processed.parquet,Rockets,26
nba_game_0022500886_processed.parquet,Nets,27
nba_game_0022500901_processed.parquet,Nets,35
nba_game_0022501055_processed.parquet,Cavaliers,29
nba_game_0022501083_processed.parquet,Pacers,39
nba_game_0022501091_processed.parquet,76ers,34
nba_game_0022501106_processed.parquet,Celtics,42
nba_game_0022501201_processed.parquet,Magic,27
