unmatched_type,game_file,game_id,opponent,period,shooter_id,shooter_name,release_frame,release_game_clock,release_shot_clock,contest_distance_ft,shot_contest_quality,pbp_shot_result,pbp_conclusion_game_clock,pbp_description
tracking_only,nba_game_0022500564_processed.parquet,0022500564,Suns,1,1631221,Collin Gillespie,26617,6:52,14,15.715,4.95,NA,NA,NA
tracking_only,nba_game_0022500564_processed.parquet,0022500564,Suns,1,1626164,Devin Booker,47456,4:22,18,5.57,21.06,NA,NA,NA
tracking_only,nba_game_0022500564_processed.parquet,0022500564,Suns,1,1642346,Ryan Dunn,75069,1:43,13,15.186,17.09,NA,NA,NA
tracking_only,nba_game_0022500564_processed.parquet,0022500564,Suns,4,1631221,Collin Gillespie,339820,10:43,10,8.624,45.59,NA,NA,NA
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,1,1628415,Dillon Brooks,NA,NA,NA,NA,NA,Missed,4:39,MISS D. Brooks 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,1,1642346,Ryan Dunn,NA,NA,NA,NA,NA,Missed,1:36,MISS R. Dunn 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,2,1628960,Grayson Allen,NA,NA,NA,NA,NA,Missed,11:09,MISS G. Allen 27' pullup 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,2,1631221,Collin Gillespie,NA,NA,NA,NA,NA,Missed,9:20,MISS C. Gillespie 25' 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,2,1626220,Royce O'Neale,NA,NA,NA,NA,NA,Missed,8:28,MISS R. O'Neale 25' 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,2,1628415,Dillon Brooks,NA,NA,NA,NA,NA,Missed,3:06,MISS D. Brooks 26' pullup 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,2,1628415,Dillon Brooks,NA,NA,NA,NA,NA,Missed,1:02,MISS D. Brooks 24' 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,2,1628415,Dillon Brooks,NA,NA,NA,NA,NA,Missed,0:00,MISS D. Brooks 26' 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,3,1628415,Dillon Brooks,NA,NA,NA,NA,NA,Missed,10:34,MISS D. Brooks 25' running pullup 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,3,1628960,Grayson Allen,NA,NA,NA,NA,NA,Missed,0:01,MISS G. Allen 24' step back 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,4,1630692,Jordan Goodwin,NA,NA,NA,NA,NA,Missed,10:48,MISS J. Goodwin 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,4,1628960,Grayson Allen,NA,NA,NA,NA,NA,Missed,10:30,MISS G. Allen 31' 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,4,1642346,Ryan Dunn,NA,NA,NA,NA,NA,Made,9:28,R. Dunn 3PT  (3 PTS) (R. O'Neale 2 AST)
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,4,1631221,Collin Gillespie,NA,NA,NA,NA,NA,Missed,7:59,MISS C. Gillespie 24' pullup 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,4,1628960,Grayson Allen,NA,NA,NA,NA,NA,Missed,6:08,MISS G. Allen 29' pullup 3PT
pbp_only,nba_game_0022500564_processed.parquet,0022500564,Suns,4,1626220,Royce O'Neale,NA,NA,NA,NA,NA,Missed,0:01,MISS R. O'Neale 31' pullup 3PT
